Tiempo	Replica	Distancia_Global	CYS1	Distancia_Global_Smooth	CYS1_Smooth
0.000	R3	11.809	19.395	14.462	19.434
0.040	R3	12.175	18.617	14.708	19.228
0.080	R3	13.498	21.304	14.854	19.450
0.120	R3	14.398	22.298	14.768	19.368
0.160	R3	16.952	17.409	14.661	19.237
0.200	R3	15.263	17.343	14.579	19.199
0.240	R3	13.911	20.341	14.726	19.322
0.280	R3	14.911	19.338	14.672	19.390
0.320	R3	16.216	22.806	14.642	19.462
0.360	R3	15.483	15.483	14.595	19.679
0.400	R3	17.173	17.173	14.520	19.786
0.440	R3	16.462	21.885	14.765	19.965
0.480	R3	13.730	18.384	15.052	19.930
0.520	R3	13.271	17.540	15.211	19.701
0.560	R3	13.426	18.661	15.177	19.347
0.600	R3	16.936	21.177	14.921	19.249
0.640	R3	13.816	20.470	14.535	19.055
0.680	R3	14.123	20.688	14.243	18.442
0.720	R3	13.746	23.578	13.880	17.858
0.760	R3	13.103	21.818	13.555	17.204
0.800	R3	16.696	22.980	13.203	16.852
0.840	R3	17.930	17.930	12.789	16.663
0.880	R3	16.678	16.714	12.552	16.418
0.920	R3	13.714	15.221	12.520	16.398
0.960	R3	11.833	15.449	12.608	16.539
1.000	R3	7.537	13.471	12.541	16.584
1.040	R3	8.075	8.075	12.221	16.381
1.080	R3	7.648	7.648	11.999	16.062
1.120	R3	9.729	9.729	11.717	15.905
1.160	R3	8.443	8.443	11.467	15.409
1.200	R3	8.886	13.404	11.363	15.083
1.240	R3	11.717	16.973	10.993	14.735
1.280	R3	13.087	17.989	10.318	14.505
1.320	R3	15.028	20.370	9.740	14.069
1.360	R3	12.100	19.557	9.346	13.714
1.400	R3	10.522	17.119	9.031	13.330
1.440	R3	9.376	14.078	8.912	13.022
1.480	R3	8.490	17.557	8.792	13.023
1.520	R3	8.754	13.652	8.705	13.133
1.560	R3	11.013	15.308	8.594	13.289
1.600	R3	9.297	16.013	8.556	13.535
1.640	R3	4.433	13.328	8.527	13.544
1.680	R3	5.107	8.004	8.326	13.405
1.720	R3	5.836	8.118	8.068	13.141
1.760	R3	5.550	7.772	7.910	12.991
1.800	R3	5.152	7.297	7.823	12.898
1.840	R3	5.670	8.107	7.939	13.061
1.880	R3	5.903	9.836	8.051	13.440
1.920	R3	7.510	12.854	8.232	13.491
1.960	R3	7.690	13.356	8.465	13.745
2.000	R3	8.303	13.594	8.666	13.901
2.040	R3	7.694	14.199	8.891	14.077
2.080	R3	7.922	12.704	9.227	14.173
2.120	R3	11.882	17.377	9.519	14.382
2.160	R3	10.356	17.697	9.691	14.440
2.200	R3	12.843	20.367	9.875	14.513
2.240	R3	11.611	21.666	10.052	14.583
2.280	R3	12.112	18.564	10.118	14.527
2.320	R3	13.418	18.742	10.247	14.461
2.360	R3	15.039	18.419	10.321	14.268
